politician_id,name,party,occupation,year_of_birth,field_title,sex,education,x,y
182821,Sebastian Schmidt,CDU/CSU,Betriebsratsvorsitzender,1993.0,,m,staatlich geprüfter Betriebswirt,5.072444,3.4761572
108815,Paul Schmidt,AfD,Betriebsphysiker in der Energieerzeugung,1966.0,,m,"Dr. rer. nat. (Biophysik), M.S. und B.S. in Physik",0.7340331,-7.982967
145768,Julian Schmidt,AfD,Büroleiter,1989.0,,m,"Wirtschaftsingenieur, Fluggerätmechaniker",0.5736129,-7.9547486
152755,Jan Wenzel Schmidt,fraktionslos,MdB,1991.0,,m,"Handelsfachwirt, Meister für Schutz und Sicherheit",0.65102464,-7.9707613
66004,Henri Schmidt,CDU/CSU,Geschäftsführer eines mittelständischen IT Unternehmens,1983.0,,m,"Offizier, Studium (Politikwissenschaften, Betriebswirtschaftslehre)",5.121009,3.4829962
79036,Dagmar Schmidt,SPD,MdB,1973.0,,f,Historikerin,5.07613,3.5137722
108960,Nils Schmid,SPD,MdB,1973.0,,m,Jurist,5.081522,3.4247532
141311,Christoph Schmid,SPD,MdB,,,m,,5.1470833,3.5189078
175286,David Schliesing,Die Linke,"Dramaturg, Audioredakteur",1983.0,,m,Diplom-Schauspielregiesseur,-9.633683,4.3182826
175942,Manfred Schiller,AfD,,1961.0,,m,Radio- und Fernsehtechniker,2.3875556,-7.1154776
180235,Carina Schießl,AfD,,1990.0,,f,Medizinisch-technische Laboratoriumsassistentin,0.72728586,-8.068887
168672,Lars Schieske,AfD,,1977.0,,m,,0.7571869,-7.756139
123546,Ulrike Schielke-Ziesing,AfD,MdB,1969.0,,f,Verwaltungswirt,0.724318,-8.067687
175017,Volker Scheurell,AfD,Tischler und Dachdecker,1967.0,,m,Handwerker,1.7387968,-7.823327
170325,Christiane Schenderlein,CDU/CSU,MdB und MdL,1981.0,Dr.,f,Politikwissenschaftlerin,5.1009903,3.4963012
175956,Raimond Scheirich,AfD,,,,m,Diplom Ingenieur,2.3296282,-7.1575155
79023,Nina Scheer,SPD,MdB,1971.0,Dr.,f,"Musikstudium, Jurastudium, Politikwissenschaftliche Promotion",5.1193976,3.45837
79021,Ulle Schauws,BÜNDNIS 90/­DIE GRÜNEN,MdB,1966.0,,f,"Film-, Fernseh-, Politikwissenschaften und Geschichte",-5.5356793,4.869593
175904,Bernd Schattner,AfD,Geschäftsführer,1968.0,,m,Verwaltungsfachangestellter,0.16217844,-9.290161
182856,Carl-Philipp Sassenrath,CDU/CSU,,1990.0,,m,Jurastudium,5.1120214,3.4864862
175836,Catarina dos Santos-Wintz,CDU/CSU,MdB,1994.0,,f,Juristin,5.370813,3.539623
184320,Zada Salihović,Die Linke,Gewerkschafterin,2000.0,,f,,-9.757808,4.4091554
175594,Kassem Taher Saleh,BÜNDNIS 90/­DIE GRÜNEN,MdB,1993.0,,m,Diplom-Ingenieur,-5.5270343,4.9083815
79032,Johann Saathoff,SPD,MdB,1967.0,,m,Diplom-Verwaltungswirt (FH),5.106196,3.486358
79051,Bernd Rützel,SPD,MdB,1968.0,,m,Technischer Oberamtsrat a.D.,5.1302443,3.489024
79046,Corinna Rüffer,BÜNDNIS 90/­DIE GRÜNEN,MdB,1975.0,,f,,-6.351463,3.3236966
73300,Thomas Röwekamp,CDU/CSU,MdB,1966.0,,m,Rechtsanwalt und Notar,5.0762897,3.4896028
79043,Norbert Röttgen,CDU/CSU,MdB,1965.0,Dr.,m,Studium der Rechtswissenschaften,5.103544,3.490263
79047,Albert Rupprecht,CDU/CSU,MdB,1968.0,,m,Dipl. Volkswirt,5.0378213,3.4747462
145843,Ruben Rupp,AfD,Wissenschaftlicher Referent,1990.0,,m,"B.Sc. der Wirtschaftswissenschaften, Kaufmann im Einzelhandel",0.93383336,-7.455431
182913,Daniela Rump,SPD,,1996.0,,f,Jurastudentin,5.14177,3.4938955
183489,Angela Rudzka,AfD,Referentin im niedersächsischen Landtag,1984.0,,f,Kauffrau für Büromanagement und Friseurin,4.869378,-5.3361354
175502,Thorsten Rudolph,SPD,MdB,1974.0,Dr.,m,Diplom-Volkswirt und promovierter Literaturwissenschaftler,5.097744,3.4793482
145872,Stefan Rouenhoff,CDU/CSU,MdB,1978.0,,m,"Ausgebildeter Bauzeichner, Diplom-Volkswirt, Politikwissenschaftler (MA)",5.094267,3.4608397
182949,Philipp Rottwilm,SPD,Bürgermeister,1984.0,Dr.,m,Diplom-Kaufmann,5.1234565,3.4864902
165158,Rainer Rothfuß,AfD,MdB,1971.0,Dr.,m,Dipl.-Geograph,0.49563977,-8.678216
182900,Johannes Rothenberger,CDU/CSU,Rechtsanwalt,,,m,Studium der Politik- und Rechtswissenschaft,5.1041913,3.469717
79041,Claudia Roth,BÜNDNIS 90/­DIE GRÜNEN,MdB,1955.0,,f,Dramaturgin,-4.4759483,5.2478623
146839,Sebastian Roloff,SPD,MdB,1983.0,,m,Jurist,5.0828104,3.4905474
30936,Lars Rohwer,CDU/CSU,MdB,1972.0,,m,Bankkaufmann,5.112,3.50669
79066,Dennis Rohde,SPD,MdB,1986.0,,m,Jurist,5.13229,3.477275
146806,Daniel Rinkert,SPD,MdB,1987.0,,m,Jurist,5.1518264,3.5482202
183055,Sylvia Rietenberg,BÜNDNIS 90/­DIE GRÜNEN,,,,f,,-5.4786215,4.8478885
181741,Matthias Rentzsch,AfD,,1977.0,,m,,0.7859214,-7.8118057
121673,Martin Erwin Renner,AfD,MdB,1954.0,,m,Diplom-Betriebswirt,1.8792465,-6.754236
180856,Lea Reisner,Die Linke,MdB Mitarbeiterin,1989.0,,f,Gesundheits- und Krankenpflegerin,-9.590217,4.2264915
146043,Anja Reinalter,BÜNDNIS 90/­DIE GRÜNEN,Mitglied des Deutschen Bundestages,1970.0,Dr.,f,Professorin für Soziale Arbeit,-5.5728397,4.9481096
149570,Heidi Reichinnek,Die Linke,Mitglied des Bundestags,1988.0,,f,pädagogische Mitarbeiterin in der Jugendhilfe,-8.938077,6.2241197
175869,Markus Reichel,CDU/CSU,Selbstständiger Unternehmer,1968.0,Dr.,m,Promovierter Wirtschaftsmathematiker,5.120533,3.5009751
182905,Truels Reichardt,SPD,Angestellter,1994.0,,m,Sozialarbeiter / Sozialpädagoge mit staatlicher Anerkennung,5.0901403,3.4788046
150298,Martin Reichardt,AfD,MdB,1969.0,,m,Offizier und Pädagoge,0.17954646,-8.557026
175940,Lukas Rehm,AfD,,,,m,,0.71466625,-7.972992
130301,Henning Rehbaum,CDU/CSU,MdB,1973.0,,m,Dipl.-Betriebswirt (FH),5.116186,3.5112078
182879,Pascal Reddig,CDU/CSU,Rechtsanwalt,1995.0,,m,Volljurist,2.8553023,2.1828368
183533,Christian Reck,AfD,,1987.0,,m,,0.5853283,-7.556068
182324,Arne Onni Raue,AfD,Bürgermeister,1970.0,,m,"Baufacharbeiter, DiplomVerwaltungswirt (FH)",2.270646,-7.0347137
31607,Bodo Ramelow,Die Linke,"MdB, Bundestagsvizepräsident",1956.0,,m,Kaufmann,-9.664,4.2826157
79067,Alois Rainer,CDU/CSU,MdB,1965.0,,m,Metzgermeister,5.065367,3.5048015
79069,Alexander Radwan,CDU/CSU,MdB,1964.0,,m,Rechtsanwalt und Diplom-Ingenieur,5.059732,3.4661872
79070,Kerstin Radomski,CDU/CSU,MdB,1974.0,,f,Lehrerin für Biologie und Erdkunde,5.003521,3.333933
79071,Thomas Rachel,CDU/CSU,MdB,1962.0,,m,"Studium der Politologie, der Geschichte und des Staatsrechts",5.152435,3.497156
79073,Martin Rabanus,SPD,MdB,1971.0,,m,Ministerialrat,5.1242576,3.4977758
179282,Marcel Queckemeyer,AfD,,,,m,,0.73010695,-8.228369
182865,Oliver Pöpsel,CDU/CSU,Agenturleiter Versicherungen,1973.0,,m,,5.332459,3.540223
183481,Kerstin Przygodda,AfD,,,,f,,0.6149523,-7.4333854
121997,Stephan Protschka,AfD,MdB,1977.0,,m,,2.4615479,-7.343719
182896,David Preisendanz,CDU/CSU,Syndikusrechtsanwalt,1984.0,Dr.,m,Rechtsanwalt,5.333995,3.607169
79077,Sabine Poschmann,SPD,MdB,1968.0,,f,Betriebswirtin (VWA),5.316754,3.6033123
136013,Filiz Polat,BÜNDNIS 90/­DIE GRÜNEN,MdB,1978.0,,f,Diplom-Volkswirtin,-5.70681,5.120402
178149,Jan-Wilhelm Pohlmann,CDU/CSU,MdL,1986.0,,m,B. A. Politik- und Verwaltungswissenschaft,5.311604,3.6047544
175871,Martin Plum,CDU/CSU,MdB,1982.0,Dr.,m,Richter am Arbeitsgericht a.D.,5.321175,3.5924141
66005,Christoph Ploß,CDU/CSU,MdB,1985.0,Dr.,m,Historiker,5.3227367,3.5833967
149389,Boris Pistorius,SPD,"Bundesverteidigungsminister, MdB",1960.0,,m,Jurist,5.3311777,3.6113005
145901,Stephan Pilsinger,CDU/CSU,MdB,1987.0,,m,Arzt,5.2153,3.6504905
31707,Paula Piechotta,BÜNDNIS 90/­DIE GRÜNEN,MdB,1986.0,Dr.,f,Ärztin,-5.811344,5.2211795
122063,Tobias Matthias Peterka,AfD,MdB,1982.0,,m,,0.5822512,-8.88623
146117,Sören Pellmann,Die Linke,Bundestagabgeordneter,1977.0,,m,"Studium Rechtswissenschaft, Lehramt an Förderschulen",-10.319995,4.4273763
175443,Jens Peick,SPD,MdB,1981.0,,m,Diplom Verwaltungswirt (FH),5.3061285,3.5908365
146824,Natalie Pawlik,SPD,MdB,1992.0,,f,Geschichts- und Kulturwissenschaften B.A.,5.3182526,3.5513265
79090,Lisa Paus,BÜNDNIS 90/­DIE GRÜNEN,MdB,1968.0,,f,Diplom Volkswirtin,-5.7915225,5.1990385
182877,Thomas Pauls,CDU/CSU,Projektmanager in der Strategie,1986.0,Dr.,m,Wirtschaftswissenschaftler,5.3213725,3.5766847
