id,dokumentnummer,sitzungsnummer,titel,datum,sitzungsbemerkung,pdf_url,xml_url,vorgangsbezug_anzahl,pdf_hash,aktualisiert
5702,21/1,1,Protokoll der 1. Sitzung des 21. Deutschen Bundestages,2025-03-25,,https://dserver.bundestag.de/btp/21/21001.pdf,https://dserver.bundestag.de/btp/21/21001.xml,10,bd948e730258bf12a7de0c5c284cf2a8,2025-03-26T09:52:31+01:00
5705,21/2,2,Protokoll der 2. Sitzung des 21. Deutschen Bundestages,2025-05-06,,https://dserver.bundestag.de/btp/21/21002.pdf,https://dserver.bundestag.de/btp/21/21002.xml,5,dfae9fc05220388c4bd255c30239edae,2025-05-07T09:54:40+02:00
5706,21/3,3,Protokoll der 3. Sitzung des 21. Deutschen Bundestages,2025-05-14,,https://dserver.bundestag.de/btp/21/21003.pdf,https://dserver.bundestag.de/btp/21/21003.xml,52,9106a5dfa6947255f2b6be59a0824af3,2025-05-20T11:19:30+02:00
5707,21/4,4,Protokoll der 4. Sitzung des 21. Deutschen Bundestages,2025-05-15,,https://dserver.bundestag.de/btp/21/21004.pdf,https://dserver.bundestag.de/btp/21/21004.xml,4,22f2927821e779df050a5ce3615b3785,2025-06-03T11:50:39+02:00
5708,21/5,5,Protokoll der 5. Sitzung des 21. Deutschen Bundestages,2025-05-16,,https://dserver.bundestag.de/btp/21/21005.pdf,https://dserver.bundestag.de/btp/21/21005.xml,18,87bee4fb095d5168c7a25383ffd5388d,2025-05-26T17:06:31+02:00
5709,21/6,6,Protokoll der 6. Sitzung des 21. Deutschen Bundestages,2025-05-21,,https://dserver.bundestag.de/btp/21/21006.pdf,https://dserver.bundestag.de/btp/21/21006.xml,73,cccffddb1b70e150b89affdd7af02471,2025-06-06T11:05:21+02:00
5710,21/7,7,Protokoll der 7. Sitzung des 21. Deutschen Bundestages,2025-05-22,,https://dserver.bundestag.de/btp/21/21007.pdf,https://dserver.bundestag.de/btp/21/21007.xml,14,d9a594077dabaaadbd148696fc06d214,2025-05-27T14:07:12+02:00
5711,21/8,8,Protokoll der 8. Sitzung des 21. Deutschen Bundestages,2025-05-23,,https://dserver.bundestag.de/btp/21/21008.pdf,https://dserver.bundestag.de/btp/21/21008.xml,8,e9faaaf3b9107e33e40bddd4db08e113,2025-05-28T09:39:34+02:00
5713,21/9,9,Protokoll der 9. Sitzung des 21. Deutschen Bundestages,2025-06-04,,https://dserver.bundestag.de/btp/21/21009.pdf,https://dserver.bundestag.de/btp/21/21009.xml,71,477f165770680b263988a364f55a7652,2025-09-29T15:57:22+02:00
5714,21/10,10,Protokoll der 10. Sitzung des 21. Deutschen Bundestages,2025-06-05,,https://dserver.bundestag.de/btp/21/21010.pdf,https://dserver.bundestag.de/btp/21/21010.xml,37,15936d55b8c2ed0725d7ad897745dafb,2025-07-15T11:15:15+02:00
5715,21/11,11,Protokoll der 11. Sitzung des 21. Deutschen Bundestages,2025-06-06,,https://dserver.bundestag.de/btp/21/21011.pdf,https://dserver.bundestag.de/btp/21/21011.xml,35,25051b94069d1917abcdb34cb99b836c,2025-06-11T14:59:08+02:00
5717,21/12,12,Protokoll der 12. Sitzung des 21. Deutschen Bundestages,2025-06-24,,https://dserver.bundestag.de/btp/21/21012.pdf,https://dserver.bundestag.de/btp/21/21012.xml,5,6c192e6ee17ecd71b42a1361858a15e2,2025-07-08T17:44:04+02:00
5718,21/13,13,Protokoll der 13. Sitzung des 21. Deutschen Bundestages,2025-06-25,,https://dserver.bundestag.de/btp/21/21013.pdf,https://dserver.bundestag.de/btp/21/21013.xml,92,95460fbd1398be3dbd4f7eb178e5aefb,2025-07-15T11:15:11+02:00
5719,21/14,14,Protokoll der 14. Sitzung des 21. Deutschen Bundestages,2025-06-26,,https://dserver.bundestag.de/btp/21/21014.pdf,https://dserver.bundestag.de/btp/21/21014.xml,77,b4b02b51a9470aa3c12c0858c18e5ea4,2025-07-08T17:44:10+02:00
5720,21/15,15,Protokoll der 15. Sitzung des 21. Deutschen Bundestages,2025-06-27,,https://dserver.bundestag.de/btp/21/21015.pdf,https://dserver.bundestag.de/btp/21/21015.xml,17,0233993dc358ddfefcad1e8fcbf1aef0,2025-09-26T10:36:43+02:00
5721,21/16,16,Protokoll der 16. Sitzung des 21. Deutschen Bundestages,2025-07-08,,https://dserver.bundestag.de/btp/21/21016.pdf,https://dserver.bundestag.de/btp/21/21016.xml,4,c02bb39160bf34b6c5804932cc3d0019,2025-07-15T11:50:28+02:00
5723,21/17,17,Protokoll der 17. Sitzung des 21. Deutschen Bundestages,2025-07-09,,https://dserver.bundestag.de/btp/21/21017.pdf,https://dserver.bundestag.de/btp/21/21017.xml,5,2b3cc59599f1bd17817bc81ed96a1fcd,2025-07-15T13:51:28+02:00
5724,21/18,18,Protokoll der 18. Sitzung des 21. Deutschen Bundestages,2025-07-10,,https://dserver.bundestag.de/btp/21/21018.pdf,https://dserver.bundestag.de/btp/21/21018.xml,35,ef4548a45db854287555eb2a8553460e,2025-09-26T10:36:39+02:00
5722,21/19,19,Protokoll der 19. Sitzung des 21. Deutschen Bundestages,2025-07-11,,https://dserver.bundestag.de/btp/21/21019.pdf,https://dserver.bundestag.de/btp/21/21019.xml,12,9470bea263879e906513ce936ecc651b,2025-07-22T09:37:18+02:00
5726,21/20,20,Protokoll der 20. Sitzung des 21. Deutschen Bundestages,2025-09-10,,https://dserver.bundestag.de/btp/21/21020.pdf,https://dserver.bundestag.de/btp/21/21020.xml,66,c3476cf3eab86c2c32809945a748298d,2025-09-16T15:24:20+02:00
5727,21/21,21,Protokoll der 21. Sitzung des 21. Deutschen Bundestages,2025-09-11,,https://dserver.bundestag.de/btp/21/21021.pdf,https://dserver.bundestag.de/btp/21/21021.xml,135,2849a74eab385d818eba9f055301967b,2025-10-06T11:12:02+02:00
5728,21/22,22,Protokoll der 22. Sitzung des 21. Deutschen Bundestages,2025-09-12,,https://dserver.bundestag.de/btp/21/21022.pdf,https://dserver.bundestag.de/btp/21/21022.xml,41,117774a958185ab7920dd625ce941096,2025-09-26T10:36:35+02:00
