fraktion,wort,tfidf,rang
CDU/CSU,klar schwerpunkt,2.6e-05,94
CDU/CSU,industrieland bleiben,2.6e-05,95
CDU/CSU,koalition union,2.6e-05,96
CDU/CSU,maßnahme weg,2.6e-05,97
CDU/CSU,viel bürokratie,2.6e-05,98
CDU/CSU,reformieren konsolidieren,2.6e-05,99
CDU/CSU,entkoppelung,2.5e-05,100
Die Linke,link klar,0.000194,1
Die Linke,link stehen,0.000172,2
Die Linke,erwerbslos,9.3e-05,3
Die Linke,reichen freund,9.3e-05,4
Die Linke,bundesweit mietendeckel,8.6e-05,5
Die Linke,arbeitend klasse,8.6e-05,6
Die Linke,whatev takes,8.2e-05,7
Die Linke,abrüstung,7.4e-05,8
Die Linke,kurdin kurde,7.4e-05,9
Die Linke,deshalb link,7.2e-05,10
Die Linke,kämpfen link,7.2e-05,11
Die Linke,leyla,6.5e-05,12
Die Linke,solidarisch mindestrent,6.5e-05,13
Die Linke,davon ablenken,6.5e-05,14
Die Linke,geld rüstung,6.5e-05,15
Die Linke,armutsfest mindestlohn,6.5e-05,16
Die Linke,radikal sozial,6.5e-05,17
Die Linke,fünft rentner,6.5e-05,18
Die Linke,sozialsprechstund,5.7e-05,19
Die Linke,finanzlobby,5.7e-05,20
Die Linke,profit mensch,5.7e-05,21
Die Linke,hand mensch,5.7e-05,22
Die Linke,gemeinnützig wohnungsbau,5.7e-05,23
Die Linke,israelisch armee,5.7e-05,24
Die Linke,land brandenburg,5.7e-05,25
Die Linke,konzerninteresse,5.3e-05,26
Die Linke,hans koller,5.3e-05,27
Die Linke,whatev,5.2e-05,28
Die Linke,zweiklassenmedizin,5e-05,29
Die Linke,elfriede,5e-05,30
Die Linke,rechtsextrem afd,5e-05,31
Die Linke,wiedereinführung wehrpflicht,5e-05,32
Die Linke,volker mayer-lay,5e-05,33
Die Linke,echt schutz,5e-05,34
Die Linke,passen stehen,5e-05,35
Die Linke,panzer rakete,5e-05,36
Die Linke,anständig lohn,5e-05,37
Die Linke,obszön reichtum,5e-05,38
Die Linke,ronja kemmer,5e-05,39
Die Linke,entlastung heißen,5e-05,40
Die Linke,sozialstaat leisten,5e-05,41
Die Linke,groß erbschaft,5e-05,42
Die Linke,fordern link,5e-05,43
Die Linke,stehen link,4.9e-05,44
Die Linke,schreiben milliarde,4.9e-05,45
Die Linke,persönlich datum,4.9e-05,46
Die Linke,milliardär,4.6e-05,47
Die Linke,takes,4.6e-05,48
Die Linke,kurdisch,4.6e-05,49
Die Linke,kurdin,4.6e-05,50
Die Linke,finanzinvestor,4.5e-05,51
Die Linke,international solidarität,4.5e-05,52
Die Linke,neoliberal,4.3e-05,53
Die Linke,schulverpflegung,4.3e-05,54
Die Linke,mietenwahnsinn,4.3e-05,55
Die Linke,dauerstelle,4.3e-05,56
Die Linke,kapitalinteresse,4.3e-05,57
Die Linke,profitinteresse,4.3e-05,58
Die Linke,heimatbegriff,4.3e-05,59
Die Linke,konzernboß,4.3e-05,60
Die Linke,netzersatzanlagen,4.3e-05,61
Die Linke,doktorandin,4.3e-05,62
Die Linke,doktorand,4.3e-05,63
Die Linke,sicht link,4.3e-05,64
Die Linke,echt kindergrundsicherung,4.3e-05,65
Die Linke,mensch statt,4.3e-05,66
Die Linke,global norden,4.3e-05,67
Die Linke,arbeiten teilzeit,4.3e-05,68
Die Linke,albert stegemann,4.3e-05,69
Die Linke,sozial gemeinnützig,4.3e-05,70
Die Linke,rechtsstaat heißen,4.3e-05,71
Die Linke,reichtum land,4.3e-05,72
Die Linke,neu mietvertrag,4.3e-05,73
Die Linke,tasche vollmachen,4.3e-05,74
Die Linke,antwort schriftlich,4.3e-05,75
Die Linke,jin jiyan,4.3e-05,76
Die Linke,michael hose,4.3e-05,77
Die Linke,politik reichen,4.3e-05,78
Die Linke,euro rüstung,4.3e-05,79
Die Linke,treten unten,4.3e-05,80
Die Linke,milliarde panzer,4.3e-05,81
Die Linke,link dafür,4.3e-05,82
Die Linke,brauchen solidarisch,4.3e-05,83
Die Linke,verschieben verantwortung,4.3e-05,84
Die Linke,ins stadtbild,4.3e-05,85
Die Linke,kurdisch kämpferin,4.3e-05,86
Die Linke,klimaschutz radikal,4.3e-05,87
Die Linke,doktorandin doktorand,4.3e-05,88
Die Linke,verbraucherin,4.3e-05,89
Die Linke,demokratisch kontrolle,4.1e-05,90
Die Linke,mindestrent,4.1e-05,91
Die Linke,erderhitzung,4.1e-05,92
Die Linke,energiekonzern,4.1e-05,93
Die Linke,chefetag,4.1e-05,94
Die Linke,armut leben,4.1e-05,95
Die Linke,million rentnerin,4.1e-05,96
Die Linke,studierende,3.9e-05,97
Die Linke,arbeiterin,3.7e-05,98
Die Linke,mieterin mieter,3.7e-05,99
Die Linke,schuldnerberatungsdienst,3.7e-05,100
SPD,sozialdemokratin sozialdemokrat,0.000205,1
SPD,person aufnahmezusage,0.000185,2
SPD,dank bündnis,0.000155,3
SPD,debatte bündnis,0.000138,4
SPD,gefährdet afghaninnen,0.000123,5
SPD,afghanisch staatsbürgerin,0.000123,6
SPD,bmi dabei,0.000123,7
SPD,aufnahme deutschland,0.000123,8
SPD,sicher gerecht,0.000107,9
