politician_id,name,party,occupation,year_of_birth,field_title,sex,education
79444,Steffen Bilger,CDU/CSU,MdB,1979.0,,m,Volljurist
177578,Christina Stumpp,CDU/CSU,MdB,1987.0,,f,"Steuerrechtlerin LL.B., Verwaltungswirtin"
145893,Marc Biadacz,CDU/CSU,MdB,1979.0,,m,Sozialwissenschaftler (M.A.)
175873,Maximilian Mörseburg,CDU/CSU,MdB,1992.0,,m,Volljurist
78953,Volker Ullrich,CDU/CSU,MdB,1975.0,,m,"Jurist, Dipl. Kaufmann"
79203,Paul Lehrieder,CDU/CSU,MdB,1959.0,,m,Rechtsanwalt
78919,Anja Weisgerber,CDU/CSU,MdB,1976.0,,f,Rechtsanwältin
79468,Dorothee Bär,CDU/CSU,MdB,1978.0,,f,Diplom-Politologin
79047,Albert Rupprecht,CDU/CSU,MdB,1968.0,,m,Dipl. Volkswirt
79067,Alois Rainer,CDU/CSU,MdB,1965.0,,m,Metzgermeister
145903,Thomas Erndl,CDU/CSU,MdB,1974.0,,m,Diplom Ingenieur (FH) Mikroelektronik
79069,Alexander Radwan,CDU/CSU,MdB,1964.0,,m,Rechtsanwalt und Diplom-Ingenieur
79329,Florian Hahn,CDU/CSU,MdB,1974.0,,m,Electronic Marketing Fachwirt
145901,Stephan Pilsinger,CDU/CSU,MdB,1987.0,,m,Arzt
175580,Jamila Anna Schäfer,BÜNDNIS 90/­DIE GRÜNEN,MdB,1993.0,,f,
78988,Wolfgang Stefinger,CDU/CSU,MdB,1985.0,,m,
145899,Bernhard Loos,CDU/CSU,MdB,1955.0,,m,Wirtschaftswissenschaftler
32337,Stephan Brandner,AfD,MdB,1966.0,,m,Rechtsanwalt und Industriekaufmann
79103,Omid Nouripour,BÜNDNIS 90/­DIE GRÜNEN,MdB,1975.0,,m,
79327,Metin Hakverdi,SPD,MdB,1969.0,,m,Jurist
67018,Dorothee Martin,SPD,MdHB,1978.0,,f,
66475,Till Steffen,BÜNDNIS 90/­DIE GRÜNEN,MdB,1973.0,Dr.,m,Rechtsanwalt und Fachanwalt für Verwaltungsrecht
175423,Erik von Malottki,SPD,MdB,1986.0,,m,Studium der Geschichte und der Politikwissenschaft (Master of Arts)
175398,Anna Kassautzki,SPD,MdB,1993.0,,f,Studium der Staatswissenschaften
79268,Frank Junge,SPD,MdB,1967.0,,m,Diplom Sportlehrer
175503,Tim Klüssendorf,SPD,Referent des Bürgermeisters,1991.0,,m,Volks- und Betriebswirt
175405,Bengt Bergt,SPD,MdB,1982.0,,m,Technischer Übersetzer
139062,Ralf Stegner,SPD,MdB,1959.0,,m,"Studium der Politikwissenschaft, Geschichte und Germanistik"
146775,Mathias Stein,SPD,MdB,1970.0,,m,"Wasserbauer , Bautechniker "
79299,Mark Helfrich,CDU/CSU,MdB,1978.0,,m,Diplom-Kaufmann (FH)
139019,Astrid Damerow,CDU/CSU,MdB,1958.0,,f,"Bankkauffrau, Business-Coach und -Trainerin"
147569,Michael Espendiller,AfD,MdB,1989.0,Dr.,m,Promovierter Mathematiker
145747,Jörg Schneider,AfD,,,,m,
121673,Martin Erwin Renner,AfD,MdB,1954.0,,m,Diplom-Betriebswirt
147218,Fabian Jacobi,AfD,MdB,1973.0,,m,Rechtsanwalt
66285,Kay Gottschalk,AfD,MdB,1965.0,,m,Diplom-Kaufmann
145742,Rüdiger Lucassen,AfD,"MdB, Obmann im Verteidigungsausschuss",1951.0,,m,Wirschafts- und Organisationswissenschaften (Dipl.-Kfm.)
30002,Manfred Todtenhausen,FDP,MdB,1950.0,,m,Elektromeister 
175745,Jens Teutrine,FDP,,1993.0,,m,
146348,Olaf in der Beek,FDP,MdB,1967.0,,m,Unternehmer; Studium BWL (ohne Abschluss)
130489,Christian Sauter,FDP,MdB,1980.0,,m,
121536,Katrin Helling-Plahr,FDP,"MdB, Rechtsanwältin",1986.0,,f,"Volljuristin, LL.M., Fachanwältin Medizinrecht"
146352,Carl-Julius Cronenberg,FDP,"MdB, Unternehmer",1962.0,,m,Betriebswirt
137432,Bernd Reuther,FDP,MdB,1971.0,,m,
146325,Markus Herbrand,FDP,MdB,1971.0,,m,Steuerberater
137163,Karlheinz Busen,FDP,MdB,1951.0,,m,Diplom-Ingenieur
146329,Nicole Westig,FDP,MdB,1967.0,,f,Studium Romanistik und öffentliches Recht
118538,Frank Schäffler,FDP,MdB,1968.0,,m,Industriekaufmann
146326,Reinhard Houben,FDP,MdB,1960.0,,m,Diplom Kaufmann
119145,Otto Fricke,FDP,"MdB, Rechtsanwalt",1965.0,,m,Jurist
118195,Bijan Djir-Sarai,FDP,"Hauptamtlicher Dezernent für Informations- und Informationstechnologie, Kataster- und Ordnungsamt, Gebäudewirtschaft und Controlling in der Kreisverwaltung des Rhein-Kreises Neuss",1976.0,,m,Diplom-Kaufmann
120155,Johannes Vogel,FDP,MdB,1982.0,,m,Politikwissenschaftler
118987,Marco Buschmann,FDP,MdB,1977.0,,m,Volljurist
119742,Christian Lindner,FDP,"MdB, FDP-Parteivorsitzender",1979.0,,m,"Politikwissenschaften, Staatsrecht und Philosophie"
175461,Luiza Licina-Bode,SPD,MdB,1972.0,,f,Volljuristin
175515,Ye-One Rhie,SPD,MdB,1987.0,,f,M.A.Kommunikationswissenschaften
121492,Jürgen Coße,SPD,MdB,1969.0,,m,Bürokaufmann
175516,Zanda Martens,SPD,MdB,1984.0,,f,Juristin
146817,Nezahat Baradari,SPD,MdB,1965.0,,f,"Fachärztin für Kinder- und Jugendmedizin, Ernährungsmedizin"
175490,Sarah Lahrkamp,SPD,MdB,1981.0,,f,Politikwissenschaftlerin
78910,Gülistan Yüksel,SPD,MdB,1962.0,,f,pharmazeutisch-kaufmännische Assistentin
79301,Wolfgang Hellmich,SPD,MdB,1958.0,,m,Lehramtsstudium
175445,Jessica Rosenthal,SPD,MdB,1992.0,,f,2. Staatsexamen Lehramt Gymnasium/Gesamtschule in den Fächern Deutsch und Geschichte
130158,Dagmar Andres,SPD,MdB ,1969.0,,f,"Steuerfachangestellte, Bilanzbuchhalterin, Betriebswirtin Fachrichtung Steuerwesen"
79111,Dietmar Nietan,SPD,Bundestagsabgeordneter,1964.0,,m,
175406,Bettina Lugk,SPD,Bundestagsabgeordnete,1982.0,,f,"Geowissenschaftlerin, Verwaltungsfachwirtin"
175476,Nadine Heselhaus,SPD,Gemeindeprüferin,1978.0,,f,Diplom-Verwaltungswirtin (FH)
79421,Bernhard Daldrup,SPD,"MdB, Obmann des Ausschusses für Bau, Wohnen, Stadtentwicklung und Kommunen Landesgeschäftsführer der Sozialdemokratischen Gemeinschaft für Kommunalpolitik Nordrhein- Westfalen",1956.0,,m,Politikwissenschaftler (M.A.)
79027,Udo Schiefner,SPD,Mitglied des Deutschen Bundestages,1959.0,,m,Technischer Angestellter Qualitätssicherung
78913,Dirk Wiese,SPD,Bundestagsabgeordneter,1983.0,,m,Jurist
