politician_id,job_title,job_title_extra,organization,income_level,income,interval,created,date_start,date_end,category,topics
175467,"Richter, ehrenamtlich",,Arbeitsgericht Magdeburg,,,,1678872376,,,29229,Staat und Verwaltung|Arbeit und Beschäftigung
145844,Mitglied der Verbandsversammlung,,Verband Region Rhein-Neckar,,300.0,1,1678799166,,,29229,Staat und Verwaltung
145844,Mitglied des Kreistages,,Rhein-Neckar-Kreis,,290.0,1,1678799020,,,29229,Staat und Verwaltung
145844,Mitglied der Vollversammlung (bis 17.09.2025),,IHK Rhein-Neckar,,,,1678798908,,,29229,Wirtschaft
145844,Mitglied des Verwaltungsrates,,AVR Kommunal AöR,,,,1678798760,,,29229,Wirtschaft
145844,Mitglied des Aufsichtsrates,,AVR UmweltService GmbH,,,,1678798554,,,29228,Umwelt|Wirtschaft
145844,Mitglied des Aufsichtsrates,,AVR BioTerra GmbH & Co. KG,,,,1678798436,,,29228,Energie
175967,Stellv. Mitglied des Hauptausschusses,,Zweckverband Verkehrsverbund Oberelbe (ZVOE),,,,1678798155,,,29229,Wirtschaft|Verkehr
175967,Mitglied der Verbandsversammlung,,Zweckverband Verkehrsverbund Oberelbe (ZVOE),,,,1678798042,,,29229,Wirtschaft|Verkehr
175967,Mitglied des Kreistages,,Landkreis Sächsische Schweiz-Osterzgebirge,,,,1678797990,,,29229,Staat und Verwaltung
175967,Mitglied des Gemeinderates,,Gemeinde Dohma,,,,1678797905,,,29229,Staat und Verwaltung
175967,Trainer,,Polizeisportverein Pirna 1990 e.V.,,,,1678797794,,,29647,Sport
79327,Vorsitzender des Landesvorstandes,,THW-Landeshelfervereinigung Hamburg e.V.,,,,1678797636,,,29230,Innere Sicherheit
79327,"Mitglied des Vorstandes, ehrenamtlich",,Atlantik-Brücke e.V.,,,,1678797568,,,29230,"Außenpolitik und internationale Beziehungen|Politisches Leben, Parteien"
79429,"Mitglied des Kuratoriums, ehrenamtlich",,Heidelberger Club für Wirtschaft und Kultur e.V.,,,,1678792951,,,29230,Wirtschaft|Kultur
79429,"Mitglied des Board of Trustees, ehrenamtlich",,European Council on Foreign Relations (ECFR) e.V.,,,,1678792702,,,29230,Europapolitik und Europäische Union
79429,"Vorsitzende des Aufsichtsrates, von Amts wegen (bis 25.06.2025) ",,Germany Trade and Invest (GTAI) - Gesellschaft für Außenwirtschaft und Standortmarketing mbH,,,,1678792082,,,29228,Wirtschaft|Außenwirtschaft
79429,"Mitglied des Aufsichtsrates, von Amts wegen",,Bundesagentur für Sprunginnovationen (SprinD GmbH),,,,1678791983,,,29228,"Wirtschaft|Wissenschaft, Forschung und Technologie|Forschung"
79293,Beteiligung,,"Hoppenstedt Land & Art KG, Burgwedel",,,,1678783054,,,29231,Finanzen
79293,Mitglied des Verwaltungsrates,,Sparkasse Hannover,,250.0,1,1678783023,,,29229,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen|Wirtschaft"
78865,Mitglied des Stiftungsrates,,Stiftung Humboldt Forum im Berliner Schloss,,,,1678741797,,,29230,Kultur
78865,Mitglied des Vorstandes,,Gegen Vergessen - Für Demokratie e.V.,,,,1678740936,,,29230,"Politisches Leben, Parteien"
78865,Mitglied des Stiftungsrates,,Bundesstiftung Bauakademie,,,,1678740851,,,29230,"Kultur|Raumordnung, Bau- und Wohnungswesen"
78865,Mitglied des Stiftungsrates,,Bundesstiftung Baukultur,,,,1678740689,,,29229,"Kultur|Raumordnung, Bau- und Wohnungswesen"
